Collection #,Herbarium #,Species
GWS030783,UNB GWS030783,Bossiella exarticulata
PTM716,UBC A91389,Bossiella exarticulata
GWS019317,UNB GWS019317,Bossiella exarticulata
PTM725,UBC A91391,Bossiella exarticulata
PTM980,UBC A91392,Bossiella exarticulata
PTM988,UBC A91395,Bossiella exarticulata
PTM992,UBC A91397,Bossiella exarticulata
PTM1038,UBC A91401,Bossiella exarticulata
PTM1049,UBC A91402,Bossiella exarticulata
Pwhi22ix09,NCU 591295,Bossiella exarticulata
PTM986,UBC A91393,Bossiella mayae
PTM987,UBC A91394,Bossiella mayae
Pse.whi.2vii08,NCU 601318,Bossiella exarticulata
PTM194,UBC A88719,Bossiella exarticulata
1439.19xi10,NCU 602128,Bossiella exarticulata
JO81C.21iv15,NCU 637312 ,Bossiella exarticulata
JO108C.21iv15,NCU 637311 ,Bossiella exarticulata
NLG656,TRH A6-316,Bossiella exarticulata
NLG655,UC 739464,Bossiella exarticulata
JO104C.21i14,NCU 636966,Bossiella exarticulata
smo.pin.28xi16,NCU 648306,Bossiella exarticulata
GWS030367,UNB GWS030367,Bossiella mayae
PTM999,UBC A91398,Bossiella mayae
PTM1011,UBC A91400,Bossiella mayae
PTM989,UBC A91396,Bossiella mayae
GWS014481,UNB GWS014481,Bossiella mayae
PTM1008,UBC A91399,Bossiella mayae
GWS019562,UNB GWS019562,Bossiella exarticulata
PTM678,UBC A91386,Bossiella exarticulata
GWS010030,UNB GWS010030,Bossiella mayae
GWS019299,UNB GWS019299,Bossiella mayae
GWS010840,UNB GWS010840,Bossiella mayae
PTM618,UBC A89693,Bossiella mayae
PTM669,UBC A91384,Bossiella mayae
PTM671,UBC A91385,Bossiella mayae
PTM683,UBC A91388,Bossiella mayae
PTM558,UBC A89879,Bossiella mayae
s.n.,TRH A3-148,Bossiella mayae
Pse.whi.17xi14,NCU 635176,Bossiella mayae
Pse.whi.3xi14,NCU 634183,Bossiella mayae
PWG1617.23xi14,NCU 635182,Bossiella mayae
PWG2044.18vi13,NCU 624984,Bossiella mayae
PWG2056.2xii13,NCU 633935,Bossiella mayae
Pse.whi.16ii15,NCU 635184,Bossiella mayae
PWG2028.13i14,NCU 636969,Bossiella mayae
Pwhi21vii09Bcru,NCU 600772,Bossiella mayae
Pse.whi.21vii09,NCU 591286,Bossiella mayae
2026.8iv13,NCU 604737,Bossiella mayae
NLG655,TRH A6-315,Bossiella mayae
MC1.12xii16,NCU 648310,Bossiella mayae
Bos.cru.28xi16,NCU 648309,Bossiella mayae